pop_tot_unw,pop_workingage_unw,worker_PS_unw,worker_PS_m_unw,worker_PS_f_unw,worker_PS_rur_unw,worker_PS_urb_unw,labor_force_PS_unw,labor_force_PS_m_unw,labor_force_PS_f_unw,labor_force_PS_rur_unw,labor_force_PS_urb_unw,pop_m_unw,pop_f_unw,pop_rur_unw,pop_urb_unw,s_casual_w_lf_PS_unw,s_casual_w_lf_P_unw,s_casual_w_lf_PS_m_unw,s_casual_w_lf_P_m_unw,s_casual_w_lf_PS_f_unw,s_casual_w_lf_P_f_unw,s_casual_w_lf_PS_rur_unw,s_casual_w_lf_P_rur_unw,s_casual_w_lf_PS_urb_unw,s_casual_w_lf_P_urb_unw,data,time,state_name,lf_share_unw,worker_share_unw,lf_share_m_unw,worker_share_m_unw,lf_share_f_unw,worker_share_f_unw,lf_share_urb_unw,worker_share_urb_unw,lf_share_rur_unw,worker_share_rur_unw
22877,17315,9207,6115,3092,4769,4438,9936,6578,3358,5126,4810,8437,8877,8215,9100,.5497182,.52785146,.51915479,.50205886,.60958904,.57996917,.68552476,.65537846,.4049896,.3939774,PLFS_1819,July 2018 - June 2019,TAMIL NADU,.5738377,.53173548,.779661,.72478372,.37828094,.34831586,.52857143,.4876923,.62398052,.58052343
2078,1540,776,530,246,206,570,835,575,260,224,611,729,810,354,1186,.39401197,.37094837,.38782609,.36347827,.40769231,.38759691,.54464287,.51121074,.33878887,.31967214,PLFS_1819,July 2018 - June 2019,PONDICHERRY,.54220778,.50389612,.78875172,.7270233,.32098764,.3037037,.51517707,.48060709,.63276833,.58192092
1713,1327,663,522,141,316,347,767,554,213,362,405,678,649,647,680,.34419817,.33552632,.38267148,.37749547,.24413146,.22488038,.46685082,.45658264,.2345679,.22828785,PLFS_1819,July 2018 - June 2019,A & N ISLANDS,.57799548,.49962321,.81710917,.76991153,.32819724,.21725732,.59558821,.51029414,.5595054,.48840803
10144,7842,3971,2673,1297,2003,1968,4352,2930,1421,2140,2212,3937,3903,3452,4390,.62109375,.61467254,.58395904,.57754195,.69739622,.69192278,.83504671,.82956684,.41410488,.40691853,PLFS_1819,July 2018 - June 2019,TELANGANA,.55496049,.50637591,.74422151,.67894334,.36407891,.33230847,.50387245,.44829157,.61993045,.58024335
15249,11127,5656,4054,1601,3561,2095,6104,4235,1868,3715,2389,5695,5430,6421,4706,.71150064,.58764672,.71145219,.62235576,.71145612,.44787645,.83849257,.68097526,.51402259,.46870896,PLFS_1920,July 2019 - June 2020,JAMMU & KASHMIR,.54857552,.50831312,.74363476,.71185249,.34401473,.29484347,.50764978,.44517636,.57857031,.55458653
432,301,189,116,73,102,87,190,117,73,102,88,165,136,162,139,.67894739,.45890412,.66666669,.5,.69863015,.32352942,.85294116,.55882353,.47727272,.37179488,PLFS_1920,July 2019 - June 2020,LADAKH,.63122922,.62790698,.70909089,.70303029,.53676468,.53676468,.63309354,.62589926,.62962961,.62962961
7257,5096,3626,1910,1716,3133,493,3778,2009,1769,3238,540,2445,2651,4159,937,.79962945,.71749377,.7297163,.63636363,.87902772,.8150183,.86349601,.7749269,.41666666,.38257575,PLFS_1920,July 2019 - June 2020,HIMACHAL PRADESH,.74136579,.71153843,.82167691,.7811861,.66729534,.64730293,.57630736,.52614731,.77855253,.75330609
13330,9980,4796,3828,968,2429,2367,5163,4099,1064,2594,2569,5219,4761,5049,4931,.54580671,.5301733,.55720907,.55362815,.50187969,.42672414,.70817268,.68845844,.38186064,.37593395,PLFS_1920,July 2019 - June 2020,PUNJAB,.51733464,.48056111,.7853995,.73347384,.22348246,.20331863,.52098966,.48002434,.5137651,.48108536
1376,1003,481,387,94,85,396,517,414,103,93,424,515,488,166,837,.25338492,.24513619,.27536231,.26876512,.16504854,.14851485,.20430107,.20430107,.26415095,.25415677,PLFS_1920,July 2019 - June 2020,CHANDIGARH,.51545364,.47956133,.80388349,.75145632,.21106558,.19262294,.50657111,.47311828,.56024098,.51204818
6974,5082,2479,1811,668,1499,980,2649,1928,721,1578,1071,2532,2547,2813,2269,.62589657,.61673671,.59906638,.59595436,.69764215,.67489117,.77883399,.76664513,.40056023,.40000001,PLFS_1920,July 2019 - June 2020,UTTARANCHAL,.5212515,.48780009,.76145339,.71524489,.28307813,.26226935,.4720141,.43190834,.56096697,.53288305
11703,8441,3665,3071,594,1846,1819,3988,3341,647,2026,1962,4482,3959,4496,3945,.52683049,.52071303,.53157735,.52574849,.50231838,.49455675,.6786772,.67062312,.37003058,.36613971,PLFS_1920,July 2019 - June 2020,HARYANA,.47245586,.43419027,.74542618,.68518519,.1634251,.15003788,.49733841,.46109,.45062277,.41058719
3810,2900,1222,1052,170,74,1148,1357,1160,197,80,1277,1564,1336,177,2723,.25792187,.25608855,.27068967,.27006039,.18274112,.17346939,.40000001,.40000001,.24902114,.24705882,PLFS_1920,July 2019 - June 2020,DELHI,.46793103,.4213793,.74168795,.67263424,.1474551,.12724552,.46896806,.42159384,.4519774,.41807911
20693,14587,7667,5201,2464,5192,2475,8080,5543,2535,5366,2714,7451,7134,8868,5719,.75136137,.70548409,.6940285,.66508663,.87652862,.82191783,.86619455,.8179903,.52431834,.50303262,PLFS_1920,July 2019 - June 2020,RAJASTHAN,.55391788,.52560496,.743927,.69802713,.35534063,.34538829,.4745585,.43276796,.605097,.58547586
43509,30722,13455,10958,2496,9008,4447,14149,11559,2589,9302,4847,15528,15189,19692,11030,.77941906,.75521612,.77100098,.75370711,.81691772,.76360041,.89271122,.86751443,.56199712,.55157232,PLFS_1920,July 2019 - June 2020,UTTAR PRADESH,.46054944,.43795976,.74439722,.70569295,.1704523,.16432945,.4394379,.40317318,.47237456,.45744464
21489,14699,5405,4849,556,3879,1526,5764,5187,577,4088,1676,7610,7089,10422,4277,.80187368,.79972041,.80701756,.80602199,.75563258,.73937154,.87035227,.86803156,.63484484,.63369304,PLFS_1920,July 2019 - June 2020,BIHAR,.39213553,.36771208,.68160313,.6371879,.081393711,.078431375,.39186347,.35679215,.39224717,.37219343
2643,2102,1377,819,558,892,485,1411,845,566,907,504,1065,1037,1275,827,.57193482,.527417,.57633138,.53325415,.56537104,.51838237,.68026459,.61721402,.37698412,.36978132,PLFS_1920,July 2019 - June 2020,SIKKIM,.67126548,.65509039,.79342723,.76901406,.54580522,.53809065,.60943168,.58645707,.71137255,.69960785
7765,5825,2445,1910,535,1659,786,2672,2064,608,1798,874,3078,2747,3812,2013,.59281439,.58816922,.60271317,.60077518,.55921054,.54530478,.7096774,.70339453,.35240275,.35125858,PLFS_1920,July 2019 - June 2020,ARUNACHAL PRADESH,.45871246,.41974249,.67056531,.62053281,.22133236,.19475792,.43417785,.39046201,.47166842,.43520463
4275,3300,1387,920,467,869,518,1876,1224,652,1176,700,1681,1619,1881,1419,.45842218,.45755473,.43464053,.43371522,.50306749,.50230414,.52976191,.52855927,.33857143,.33857143,PLFS_1920,July 2019 - June 2020,NAGALAND,.56848484,.42030302,.72813803,.54729331,.40271774,.28844967,.49330515,.36504582,.62519938,.4619883
