pop_tot_unw,pop_workingage_unw,worker_PS_unw,worker_PS_m_unw,worker_PS_f_unw,worker_PS_rur_unw,worker_PS_urb_unw,labor_force_PS_unw,labor_force_PS_m_unw,labor_force_PS_f_unw,labor_force_PS_rur_unw,labor_force_PS_urb_unw,pop_m_unw,pop_f_unw,pop_rur_unw,pop_urb_unw,s_casual_w_worker_PS_unw,s_casual_w_worker_P_unw,s_casual_w_lf_PS_unw,s_casual_w_lf_P_unw,s_casual_w_worker_PS_m_unw,s_casual_w_worker_P_m_unw,s_casual_w_lf_PS_m_unw,s_casual_w_lf_P_m_unw,s_casual_w_worker_PS_f_unw,s_casual_w_worker_P_f_unw,s_casual_w_lf_PS_f_unw,s_casual_w_lf_P_f_unw,s_casual_w_worker_PS_rur_unw,s_casual_w_worker_P_rur_unw,s_casual_w_lf_PS_rur_unw,s_casual_w_lf_P_rur_unw,s_casual_w_worker_PS_urb_unw,s_casual_w_worker_P_urb_unw,s_casual_w_lf_PS_urb_unw,s_casual_w_lf_P_urb_unw,data,time,state_name,lf_share_unw,worker_share_unw,lf_share_m_unw,worker_share_m_unw,lf_share_f_unw,worker_share_f_unw,lf_share_urb_unw,worker_share_urb_unw,lf_share_rur_unw,worker_share_rur_unw
14242,10186,6120,3920,2200,4020,2100,6521,4062,2459,4163,2358,5249,4937,5984,4202,.79428107,.66483861,.7454378,.60568792,.73826534,.64504123,.71245694,.61495566,.89409089,.74081635,.79991865,.57664812,.89328361,.75069737,.86259907,.70336491,.6047619,.53336895,.53859204,.46616891,PLFS_2324,July 2023 - June 2024,JAMMU & KASHMIR,.64019245,.60082465,.77386171,.74680889,.49807575,.44561476,.56116134,.49976203,.69568849,.67179143
6966,5013,3726,1999,1727,3205,521,3880,2060,1820,3306,574,2460,2553,4126,887,.83628553,.73463446,.80309278,.6829136,.77038521,.63771188,.74757284,.6026026,.91256511,.85307443,.86593407,.7775811,.91170049,.80054832,.88384753,.74823833,.37236086,.36116505,.33797911,.3257443,PLFS_2324,July 2023 - June 2024,HIMACHAL PRADESH,.77398765,.74326748,.83739835,.81260163,.71288681,.67645907,.64712512,.5873732,.80126029,.77678138
12751,9364,5015,3709,1306,2601,2414,5289,3900,1389,2729,2560,4797,4567,4595,4769,.59601194,.57424927,.56513518,.5427683,.58856833,.5753721,.55974358,.54695135,.61715162,.57069409,.58027357,.52983296,.73087275,.70410627,.69659215,.66806722,.45070422,.43860388,.42500001,.41290578,PLFS_2324,July 2023 - June 2024,PUNJAB,.56482273,.53556174,.81300813,.77319157,.30413839,.28596452,.53680015,.50618577,.5939064,.56605005
1252,922,506,374,132,0,506,540,388,152,0,540,482,440,0,922,.22529644,.20766129,.21111111,.19288389,.25935829,.24119242,.25,.23116884,.12878788,.11023622,.1118421,.093959734,,,,,.22529644,.20766129,.21111111,.19288389,PLFS_2324,July 2023 - June 2024,CHANDIGARH,.58568329,.54880697,.80497926,.77593362,.34545454,.30000001,.58568329,.54880697,,
6684,4822,2805,1788,1017,1749,1056,2919,1858,1061,1795,1124,2373,2449,2649,2173,.71550804,.65129685,.68756425,.61748636,.65715885,.62288386,.63240045,.5937674,.81809241,.71927375,.78416586,.67320263,.84962833,.78370786,.82785517,.75151515,.49337122,.46368158,.46352312,.43268338,PLFS_2324,July 2023 - June 2024,UTTARANCHAL,.60535049,.58170885,.78297514,.75347662,.43323806,.41527155,.51725727,.48596412,.67761421,.66024917
10787,7768,3860,2971,889,2107,1753,4008,3096,912,2171,1837,4093,3675,4141,3627,.56580311,.54809201,.54491019,.52688444,.53887582,.51910722,.51711887,.4972465,.65579301,.64672035,.63925439,.62933928,.72045565,.69764084,.69921696,.67552447,.37992013,.37049744,.36254764,.35313353,PLFS_2324,July 2023 - June 2024,HARYANA,.5159629,.49691039,.7564134,.72587347,.24816327,.24190477,.5064792,.48331955,.52426952,.50881428
3511,2678,1227,1030,197,74,1153,1253,1051,202,76,1177,1435,1243,161,2517,.34718826,.33882934,.33998403,.33145162,.35339805,.34472656,.34633681,.3374761,.31472081,.3068783,.30693069,.29896906,.41891891,.41891891,.40789473,.40789473,.34258455,.333626,.33559898,.32646048,PLFS_2324,July 2023 - June 2024,DELHI,.46788648,.45817775,.73240417,.71777004,.16251005,.15848753,.46762019,.45808503,.47204968,.45962733
19905,14137,8569,5188,3381,5776,2793,8973,5449,3524,5933,3040,6992,7144,8473,5664,.79169101,.73429763,.75604594,.6941365,.7162683,.66482431,.68195999,.62847549,.90742385,.86924845,.87060159,.82167453,.90927976,.8520804,.88521826,.82165486,.54851413,.51112789,.50394738,.46579581,PLFS_2324,July 2023 - June 2024,RAJASTHAN,.6347174,.6061399,.77931923,.74199086,.49328107,.47326428,.53672314,.49311441,.70022422,.68169481
42740,29934,15977,11401,4576,11210,4767,16465,11777,4688,11414,5051,14951,14983,19345,10589,.83958191,.79530948,.81469786,.76477307,.81089377,.78478003,.78500468,.75548118,.91105771,.84061396,.88929182,.80451977,.93336308,.89593822,.91668129,.87203223,.61904764,.5970906,.58424073,.56086957,PLFS_2324,July 2023 - June 2024,UTTAR PRADESH,.5500434,.53374088,.78770649,.76255769,.31288794,.3054128,.47700444,.45018417,.59002328,.57947791
22474,14999,7214,5293,1921,5422,1792,7506,5533,1973,5562,1944,7650,7348,10558,4441,.87233156,.8379395,.83839595,.79602301,.85395807,.83748055,.8169167,.79600888,.92295676,.84037077,.89863151,.79609758,.93489486,.90596747,.91136283,.8754915,.68303573,.6599645,.62962961,.60032278,PLFS_2324,July 2023 - June 2024,BIHAR,.50043339,.48096541,.72326797,.69189543,.26850843,.26143169,.43773925,.40351272,.52680433,.51354426
2649,2138,1473,868,605,992,481,1523,893,630,1019,504,1104,1034,1287,851,.67074001,.59228069,.64871961,.56454849,.63709676,.55764705,.61926091,.53680634,.71900827,.64347827,.69047618,.60457516,.77520162,.66771817,.75466144,.63691074,.45530146,.44092828,.43452382,.41967872,PLFS_2324,July 2023 - June 2024,SIKKIM,.71234798,.68896163,.80887681,.78623188,.60928434,.58510637,.59224445,.56521738,.79176378,.7707848
7833,5776,3785,2150,1635,2766,1019,4077,2306,1771,2889,1188,2942,2834,3796,1980,.79894322,.73645806,.74172187,.67420352,.74418604,.66321498,.69384217,.61080837,.87094802,.83322477,.80406553,.7568047,.89696312,.83398134,.85877466,.78773409,.53287536,.48335016,.45707071,.40975192,PLFS_2324,July 2023 - June 2024,ARUNACHAL PRADESH,.70585179,.65529776,.78382051,.73079538,.62491179,.57692307,.60000002,.51464647,.76106429,.72866178
4537,2927,1941,1095,846,1199,742,2109,1190,919,1265,844,1468,1459,1611,1316,.77537352,.69427794,.71360832,.63320082,.70684934,.62222224,.65042019,.57045841,.86406618,.797351,.79542983,.72182256,.86238533,.77659577,.81739128,.73060882,.63477087,.56294203,.55805689,.4895449,PLFS_2324,July 2023 - June 2024,NAGALAND,.72053295,.6631363,.81062669,.74591279,.62988347,.57984918,.64133739,.56382978,.78522658,.74425822
9937,6929,4123,2455,1668,2075,2048,4390,2575,1815,2183,2207,3407,3522,3384,3545,.79092896,.77578586,.74282461,.72720993,.72953159,.71563399,.69553399,.68098402,.88129497,.86544341,.80991733,.79360628,.86313254,.85053551,.82043058,.80767453,.71777344,.69970268,.66606253,.64740944,PLFS_2324,July 2023 - June 2024,MANIPUR,.63356906,.59503537,.75579691,.72057527,.51533222,.47359455,.622567,.5777151,.64509457,.61317968
