pop_tot_unw,casual_w_P_unw,casual_w_P_m_unw,casual_w_P_f_unw,casual_w_PS_unw,casual_w_PS_m_unw,casual_w_PS_f_unw,worker_P_unw,worker_P_m_unw,worker_P_f_unw,worker_PS_unw,worker_PS_m_unw,worker_PS_f_unw,labor_force_P_unw,labor_force_P_m_unw,labor_force_P_f_unw,labor_force_PS_unw,labor_force_PS_m_unw,labor_force_PS_f_unw,casual_w_W_unw,casual_w_W_m_unw,casual_w_W_f_unw,casual_w_WD_unw,casual_w_WD_m_unw,casual_w_WD_f_unw,worker_W_unw,worker_W_m_unw,worker_W_f_unw,labor_force_W_unw,labor_force_W_m_unw,labor_force_W_f_unw,worker_WD_unw,worker_WD_m_unw,worker_WD_f_unw,labor_force_WD_unw,labor_force_WD_m_unw,labor_force_WD_f_unw,pop_unw,pop_m_unw,pop_f_unw,s_casual_w_worker_PS_unw,s_casual_w_worker_P_unw,s_casual_w_worker_WD_unw,s_casual_w_worker_W_unw,s_casual_w_lf_PS_unw,s_casual_w_lf_P_unw,s_casual_w_lf_WD_unw,s_casual_w_lf_W_unw,s_casual_w_pop_PS_unw,s_casual_w_pop_P_unw,s_casual_w_pop_WD_unw,s_casual_w_pop_W_unw,s_casual_w_worker_PS_m_unw,s_casual_w_worker_P_m_unw,s_casual_w_worker_WD_m_unw,s_casual_w_worker_W_m_unw,s_casual_w_lf_PS_m_unw,s_casual_w_lf_P_m_unw,s_casual_w_lf_WD_m_unw,s_casual_w_lf_W_m_unw,s_casual_w_pop_PS_m_unw,s_casual_w_pop_P_m_unw,s_casual_w_pop_WD_m_unw,s_casual_w_pop_W_m_unw,s_casual_w_worker_PS_f_unw,s_casual_w_worker_P_f_unw,s_casual_w_worker_WD_f_unw,s_casual_w_worker_W_f_unw,s_casual_w_lf_PS_f_unw,s_casual_w_lf_P_f_unw,s_casual_w_lf_WD_f_unw,s_casual_w_lf_W_f_unw,s_casual_w_pop_PS_f_unw,s_casual_w_pop_P_f_unw,s_casual_w_pop_WD_f_unw,s_casual_w_pop_W_f_unw,data,time,state_name,state_code_PLFS
9668,3293,1959,1334,3568,2059,1509,4259,2710,1549,4441,2743,1698,4405,2817,1588,4579,2843,1736,2467,1586,881,2507,1614,893,3579,2461,1118,3943,2747,1196,3579,2461,1118,3943,2747,1196,7318,3722,3596,.80342263,.77318621,.70047498,.68929869,.77920943,.74755961,.63581032,.62566572,.48756492,.44998634,.34257993,.33711398,.75063801,.72287822,.65583098,.64445347,.72423494,.69542068,.58755004,.57735711,.55319721,.52632993,.43363783,.42611501,.88869256,.86120075,.79874778,.78801429,.86923963,.8400504,.74665552,.7366221,.41963291,.37096775,.24833147,.24499443,PLFS_2021,July 2020 - June 2021,CHATTISGARH,22
21038,6437,4653,1784,7395,5002,2393,8163,6016,2147,8946,6214,2732,8439,6243,2196,9182,6407,2775,5832,4222,1610,5938,4295,1643,7741,5729,2012,8381,6273,2108,7741,5729,2012,8381,6273,2108,15753,8097,7655,.82662642,.78855813,.76708436,.75339103,.80538011,.76276809,.70850736,.69585967,.46943438,.40862057,.37694407,.37021521,.80495656,.7734375,.74969453,.73695236,.78070861,.74531478,.6846804,.67304319,.61775964,.57465726,.53044337,.52142769,.87591511,.8309269,.81660038,.80019879,.86234236,.81238616,.77941179,.76375711,.31260613,.23305029,.21463096,.21032006,PLFS_2021,July 2020 - June 2021,MADHYA PRADESH,23
15375,3938,2792,1144,4361,2873,1486,6108,4620,1486,6478,4644,1832,6261,4739,1520,6628,4761,1865,3946,2724,1220,3991,2761,1228,6161,4576,1583,6359,4726,1631,6161,4576,1583,6359,4726,1631,11750,6084,5662,.67320162,.64472824,.64778447,.64048046,.6579662,.62897301,.62761438,.62053782,.37114894,.33514893,.33965957,.33582979,.61864769,.60432899,.60336536,.59527969,.60344464,.58915383,.58421499,.57638597,.47222221,.45890862,.45381328,.44773176,.81113535,.76985192,.77574223,.77068859,.79678285,.7526316,.75291234,.74800736,.26245144,.20204875,.21688449,.21547157,PLFS_2021,July 2020 - June 2021,GUJARAT,24
1203,126,94,32,191,117,74,463,373,90,499,374,125,488,394,94,524,395,129,118,90,28,121,93,28,457,371,86,484,394,90,457,371,86,484,394,90,916,498,418,.38276553,.27213824,.26477024,.25820568,.36450383,.25819671,.25,.24380165,.20851529,.13755459,.13209607,.12882096,.31283423,.25201073,.25067386,.2425876,.29620254,.23857868,.23604061,.2284264,.23493975,.18875502,.18674698,.18072289,.59200001,.35555556,.3255814,.3255814,.57364339,.34042552,.31111112,.31111112,.1770335,.076555021,.066985644,.066985644,PLFS_2021,July 2020 - June 2021,D & N. HAVELI & DAMAN & DIU,25
29539,8022,5274,2748,8232,5417,2815,11838,8211,3627,11950,8274,3676,12368,8622,3746,12466,8671,3795,7360,4979,2381,7448,5037,2411,11108,7887,3221,12070,8579,3491,11108,7887,3221,12070,8579,3491,22012,11246,10764,.68887031,.67764825,.67050773,.6625855,.66035616,.64860934,.6170671,.60977632,.37397784,.36443758,.33836091,.33436307,.65470147,.64230907,.63864589,.63129199,.62472612,.611691,.58713138,.58037066,.48168239,.46896675,.44789258,.4427352,.76577801,.75765097,.74852532,.73921144,.7417655,.7335825,.69063306,.68203956,.26151988,.25529543,.22398737,.2212003,PLFS_2021,July 2020 - June 2021,MAHARASHTRA,27
14102,4354,2648,1705,4540,2747,1792,6156,3963,2191,6272,4014,2256,6519,4219,2298,6611,4252,2357,3934,2474,1459,4020,2529,1490,5834,3845,1987,6391,4202,2187,5834,3845,1987,6391,4202,2187,10969,5476,5491,.72385204,.70727748,.68906409,.67432296,.68673426,.66789383,.62900954,.61555314,.4138937,.39693683,.36648738,.35864711,.68435478,.66818064,.65773731,.64343303,.6460489,.62763691,.60185623,.58876723,.50164354,.48356465,.46183345,.45178962,.79432625,.77818346,.74987417,.73427278,.76028848,.7419495,.68129855,.66712391,.32635221,.3105081,.27135313,.26570752,PLFS_2021,July 2020 - June 2021,ANDHRA PRADESH,28
15875,4396,2997,1399,4549,3064,1485,6447,4496,1950,6567,4534,2032,6674,4666,2007,6784,4694,2089,4176,2871,1305,4232,2908,1324,6310,4440,1869,6589,4645,1943,6310,4440,1869,6589,4645,1943,12017,5967,6048,.69270593,.68186754,.67068148,.66180664,.67054832,.65867543,.64228261,.63378358,.37854707,.3658151,.35216776,.34750769,.67578298,.66659254,.65495497,.64662164,.65274817,.64230603,.62604952,.61808395,.51349086,.50226247,.48734707,.48114631,.73080707,.7174359,.70840019,.69823438,.71086645,.69706029,.68142051,.67164177,.24553572,.23131613,.21891534,.21577381,PLFS_2021,July 2020 - June 2021,KARNATAKA,29
1687,238,165,73,259,185,74,583,429,154,589,434,155,656,476,180,661,480,181,227,163,64,241,177,64,578,426,152,658,479,179,578,426,152,658,479,179,1270,646,624,.43972835,.40823328,.41695502,.39273357,.39183056,.36280489,.36626139,.3449848,.20393701,.18740158,.18976378,.17874016,.42626727,.38461539,.41549295,.3826291,.38541666,.34663865,.36951983,.34029227,.2863777,.25541794,.27399382,.25232199,.47741935,.47402596,.42105263,.42105263,.40883979,.40555555,.35754189,.35754189,.11858974,.11698718,.1025641,.1025641,PLFS_2021,July 2020 - June 2021,GOA,30
406,53,48,5,55,50,5,118,100,18,121,103,18,139,109,30,140,110,30,48,44,4,49,44,5,117,99,18,138,108,30,117,99,18,138,108,30,282,139,143,.45454547,.44915253,.41880342,.41025642,.39285713,.38129497,.35507247,.34782609,.19503546,.18794326,.17375886,.17021276,.48543689,.47999999,.44444445,.44444445,.45454547,.44036698,.4074074,.4074074,.35971224,.34532374,.31654677,.31654677,.27777779,.27777779,.27777779,.22222222,.16666667,.16666667,.16666667,.13333334,.034965035,.034965035,.034965035,.027972028,PLFS_2021,July 2020 - June 2021,LAKSHDWEEP,31
16648,3081,2361,718,3661,2554,1105,5082,3620,1460,5625,3756,1867,5838,3999,1836,6278,4071,2204,2720,2020,698,2892,2141,749,4899,3404,1493,5936,3990,1943,4899,3404,1493,5936,3990,1943,11851,5515,6330,.65084445,.60625738,.59032458,.55521536,.58314753,.52774924,.48719677,.45822102,.30891907,.25997806,.24403004,.22951649,.67997873,.65220994,.62896591,.59341949,.62736428,.5903976,.53659147,.50626564,.46310064,.42810518,.38821396,.36627379,.59185863,.49178082,.50167447,.46751508,.50136119,.39106753,.38548636,.3592383,.17456555,.11342812,.11832543,.11026856,PLFS_2021,July 2020 - June 2021,KERALA,32
