pop_tot_unw,pop_workingage_unw,worker_PS_unw,worker_PS_m_unw,worker_PS_f_unw,worker_PS_rur_unw,worker_PS_urb_unw,labor_force_PS_unw,labor_force_PS_m_unw,labor_force_PS_f_unw,labor_force_PS_rur_unw,labor_force_PS_urb_unw,worker_W_unw,worker_W_m_unw,worker_W_f_unw,worker_W_rur_unw,worker_W_urb_unw,labor_force_W_unw,labor_force_W_m_unw,labor_force_W_f_unw,labor_force_W_rur_unw,labor_force_W_urb_unw,pop_m_unw,pop_f_unw,pop_rur_unw,pop_urb_unw,s_casual_w_worker_PS_unw,s_casual_w_worker_P_unw,s_casual_w_worker_WD_unw,s_casual_w_worker_W_unw,s_casual_w_lf_PS_unw,s_casual_w_lf_P_unw,s_casual_w_lf_WD_unw,s_casual_w_lf_W_unw,s_casual_w_worker_PS_m_unw,s_casual_w_worker_P_m_unw,s_casual_w_worker_WD_m_unw,s_casual_w_worker_W_m_unw,s_casual_w_lf_PS_m_unw,s_casual_w_lf_P_m_unw,s_casual_w_lf_WD_m_unw,s_casual_w_lf_W_m_unw,s_casual_w_worker_PS_f_unw,s_casual_w_worker_P_f_unw,s_casual_w_worker_WD_f_unw,s_casual_w_worker_W_f_unw,s_casual_w_lf_PS_f_unw,s_casual_w_lf_P_f_unw,s_casual_w_lf_WD_f_unw,s_casual_w_lf_W_f_unw,s_casual_w_worker_PS_rur_unw,s_casual_w_worker_P_rur_unw,s_casual_w_worker_WD_rur_unw,s_casual_w_worker_W_rur_unw,s_casual_w_lf_PS_rur_unw,s_casual_w_lf_P_rur_unw,s_casual_w_lf_WD_rur_unw,s_casual_w_lf_W_rur_unw,s_casual_w_worker_PS_urb_unw,s_casual_w_worker_P_urb_unw,s_casual_w_worker_WD_urb_unw,s_casual_w_worker_W_urb_unw,s_casual_w_lf_PS_urb_unw,s_casual_w_lf_P_urb_unw,s_casual_w_lf_WD_urb_unw,s_casual_w_lf_W_urb_unw,data,time,state_name,lf_share_unw,worker_share_unw,lf_share_m_unw,worker_share_m_unw,lf_share_f_unw,worker_share_f_unw,lf_share_urb_unw,worker_share_urb_unw,lf_share_rur_unw,worker_share_rur_unw
15984,12013,7300,4939,2361,4150,3150,7456,5058,2398,4206,3250,7015,4887,2128,3923,3092,7227,5039,2188,4011,3216,6187,5826,6042,5971,.66246575,.6275962,.64062721,.62979329,.64860517,.61256027,.62183481,.61131865,.59505975,.57271242,.58133823,.56926543,.58105969,.55789894,.56380236,.55209368,.80347311,.76269484,.77678573,.76879698,.79107589,.74802762,.75548446,.74771482,.83614457,.79443866,.80754524,.79530972,.82501191,.78164154,.789828,.77786088,.43365079,.41620019,.42884865,.41979301,.4203077,.40216354,.41231343,.40360695,PLFS_2223,July 2022 - June 2023,GUJARAT,.62066096,.60767502,.81752062,.79828674,.41160315,.40525231,.54429746,.5275498,.69612712,.68685865
1250,936,601,429,172,310,291,617,436,181,320,297,575,424,151,293,282,594,435,159,304,290,503,433,444,492,.44425955,.36974791,.39304349,.35478261,.43273905,.35889071,.38047138,.34343433,.33566433,.25586855,.29245284,.25707546,.33027524,.25057471,.28505749,.25057471,.71511626,.65680474,.6754967,.62913907,.67955804,.62359548,.64150941,.59748429,.63870966,.51644737,.56313992,.50511944,.61874998,.49683544,.54276317,.4868421,.2371134,.21649484,.21631205,.19858156,.23232323,.21212122,.21034482,.19310345,PLFS_2223,July 2022 - June 2023,D & N. HAVELI & DAMAN & DIU,.65918803,.64209402,.86679918,.85288268,.41801387,.39722863,.60365856,.59146339,.72072071,.6981982
31080,23029,13524,9017,4507,7248,6276,13962,9340,4622,7393,6569,12984,8764,4220,6884,6100,13685,9275,4410,7179,6506,11786,11243,10771,12258,.64559305,.62765718,.6253081,.6089803,.62534022,.60612214,.59327734,.57778591,.59853607,.57864666,.58146966,.56526703,.57783729,.55657327,.54943395,.53412402,.73973817,.72737634,.71635073,.69976306,.72133273,.7081669,.68548751,.66961449,.86934328,.84715605,.84805346,.82582802,.85229272,.82903755,.81320518,.79189301,.3871893,.37392712,.37393442,.36426228,.36991933,.35566851,.35059944,.34153089,PLFS_2223,July 2022 - June 2023,MAHARASHTRA,.60627902,.58725953,.79246563,.76506025,.41110024,.40087166,.53589493,.51199216,.68638009,.67291802
13656,10586,6202,3925,2276,3866,2336,6507,4134,2372,4004,2503,5675,3762,1912,3445,2230,6162,4067,2094,3710,2452,5255,5329,5886,4700,.71170592,.68288648,.67013216,.65110135,.6783464,.64731723,.61716974,.59964299,.67082804,.63999999,.63795853,.61642742,.63691342,.60399413,.59011555,.57019919,.7820738,.75946444,.73326361,.71914226,.75042158,.72562855,.669532,.65663803,.84117949,.80944759,.79593617,.77619737,.81218779,.77789176,.73908353,.72075474,.49743152,.47625273,.47578475,.45784754,.46424291,.44161615,.432708,.41639477,PLFS_2223,July 2022 - June 2023,ANDHRA PRADESH,.61467975,.58586812,.78667933,.74690771,.44511166,.42709702,.5325532,.49702129,.68025821,.65681279
15571,11803,6615,4471,2144,3408,3207,6822,4618,2204,3471,3351,6342,4399,1943,3188,3154,6598,4587,2011,3290,3308,5986,5817,5515,6288,.6739229,.66036862,.6527909,.64506465,.65347403,.63803679,.62746286,.62003636,.66092598,.64845335,.64628327,.63878155,.63988739,.62502718,.61979508,.6126008,.70102614,.68639052,.66752446,.65928978,.68194193,.66666669,.64495277,.63699651,.86091548,.84794438,.83814305,.82998747,.84528953,.82914573,.81215805,.80425531,.47521049,.46332169,.46544072,.45814839,.45478961,.44212121,.44377267,.43681982,PLFS_2223,July 2022 - June 2023,KARNATAKA,.57798862,.56045073,.77146673,.74690944,.37888947,.36857486,.53291982,.51001906,.62937444,.61795104
1642,1226,601,437,164,248,353,663,477,186,272,391,582,431,151,236,346,652,473,179,267,385,616,610,527,699,.37770382,.35678393,.34707904,.3281787,.34238312,.323217,.30981594,.29294479,.38901603,.37011495,.36658934,.34570765,.35639414,.33894736,.33403805,.31501058,.34756097,.32098764,.29139072,.2781457,.30645162,.28260869,.24581006,.23463687,.46370968,.44081631,.40677965,.3898305,.4227941,.40148699,.35955057,.3445693,.31728044,.29829547,.30635837,.28612718,.28644502,.26923078,.27532467,.25714287,PLFS_2223,July 2022 - June 2023,GOA,.54078305,.49021208,.77435064,.70941556,.30491802,.26885247,.55937052,.50500715,.51612902,.47058824
799,551,219,165,54,74,145,243,181,62,81,162,202,157,45,69,133,233,180,53,81,152,249,302,157,394,.55251139,.52020204,.51980197,.50495052,.49794239,.4618834,.45064378,.43776825,.56969696,.56172842,.54777068,.52866244,.519337,.50837988,.47777778,.4611111,.5,.33333334,.42222223,.42222223,.43548387,.27272728,.35849056,.35849056,.52702701,.50704223,.49275362,.49275362,.48148149,.4556962,.41975307,.41975307,.56551725,.52755904,.53383458,.51127821,.50617284,.46527779,.46710527,.44736841,PLFS_2223,July 2022 - June 2023,LAKSHDWEEP,.44101635,.39745918,.72690761,.66265059,.20529801,.17880794,.4111675,.3680203,.51592356,.47133759
15837,11062,5821,3766,2055,2790,3031,6298,3967,2331,2966,3332,5228,3537,1691,2475,2753,5844,3870,1974,2733,3111,5115,5947,4973,6089,.60213023,.54080248,.55126244,.5197016,.55652589,.48861647,.49315536,.4649213,.61869359,.58155042,.58128357,.54735655,.5873456,.54363638,.53126615,.50025839,.57177615,.44679487,.48846835,.4618569,.50407553,.37473118,.41843972,.39564335,.69354838,.63993454,.64767677,.61777776,.65239382,.59085757,.58653492,.55945849,.51798087,.45156538,.46458408,.43152925,.47118849,.40026119,.41112182,.38187078,PLFS_2223,July 2022 - June 2023,KERALA,.56933647,.52621585,.77556205,.7362659,.39196232,.34555238,.5472163,.49778289,.59642065,.56102955
23059,17398,9746,6368,3378,5264,4482,10207,6641,3566,5455,4752,9108,6141,2967,4775,4333,9888,6592,3296,5202,4686,8600,8798,8411,8987,.62199879,.58846277,.58509004,.56741327,.59390616,.55450958,.53893608,.5226537,.56579775,.54202485,.54111707,.52206481,.54253876,.51614368,.50409585,.48634708,.72794551,.68483645,.67610383,.66127402,.68956816,.63162708,.60861653,.595267,.77184653,.73284465,.73340315,.71497381,.74482125,.69384998,.67320263,.65628606,.44600624,.42723966,.42164782,.40480036,.420665,.40046889,.38988477,.37430644,PLFS_2223,July 2022 - June 2023,TAMIL NADU,.58667666,.56017935,.77220929,.7404651,.40531939,.38395089,.52876377,.49872038,.64855546,.6258471
1946,1447,743,493,250,216,527,785,520,265,226,559,711,479,232,204,507,768,517,251,217,551,666,781,343,1104,.39838493,.36235955,.37271449,.35021096,.37707007,.33725491,.34505209,.32421875,.40162271,.35403726,.37578288,.34655532,.38076922,.33075434,.34816247,.32108316,.39199999,.37991267,.36637932,.35775861,.36981133,.35080644,.33864543,.3306773,.60185188,.54500002,.54901963,.53431374,.57522124,.51173711,.51612902,.50230414,.31499052,.29101563,.30177516,.27613413,.29695886,.26992753,.27767694,.25408348,PLFS_2223,July 2022 - June 2023,PONDICHERRY,.54250175,.51347613,.78078079,.74024022,.33930859,.32010242,.50634056,.47735506,.65889215,.62973762
