state_perv1,total_workers_w,total_workers_unw,total_div0_w,total_div1_w,total_div23_w,total_div4_w,total_div5_w,total_div6_w,total_div7_w,total_div8_w,total_div9_w,total_div0_unw,total_div1_unw,total_div23_unw,total_div4_unw,total_div5_unw,total_div6_unw,total_div7_unw,total_div8_unw,total_div9_unw,share_div0_weighted,share_div0_unweighted,share_div1_weighted,share_div1_unweighted,share_div23_weighted,share_div23_unweighted,share_div4_weighted,share_div4_unweighted,share_div5_weighted,share_div5_unweighted,share_div6_weighted,share_div6_unweighted,share_div7_weighted,share_div7_unweighted,share_div8_weighted,share_div8_unweighted,share_div9_weighted,share_div9_unweighted,state_name
22,53334122.13911438,4997,39383775.43045044,301828.3279724121,5101350.449356079,192868.883972168,13552572.0647583,4685257.043457031,1297289.473266602,832817.5715332031,4496475.570037842,3252,40,488,22,1151,612,166,101,511,.73843485,.65079045,.0056591975,.0080048032,.095648907,.097658597,.003616238,.0044026417,.25410697,.2303382,.08784727,.12247349,.024323817,.033219934,.015615098,.020212127,.084307671,.10226136,CHHATTISGARH
23,145637812.3349915,10293,103944258.5178833,303955.2687988281,13086291.96490479,525938.62890625,23033584.72842407,14675505.6131897,4728633.793334961,2068103.175170898,9557802.414031982,6535,32,987,51,1420,1377,383,209,955,.71371752,.63489753,.0020870629,.0031089089,.089855045,.09589041,.003611278,.0049548238,.15815662,.13795784,.10076714,.13378024,.032468449,.037209753,.014200318,.020305062,.065627202,.092781499,MADHYA PRADESH
24,117227675.8501053,7394,54301938.72449493,159385.5182495117,26123611.44155121,767504.1639251709,9370331.905090332,13578507.90855408,5723771.573638916,4676545.952079773,10452026.84475708,3138,12,1645,69,550,991,417,301,750,.46321774,.42439815,.0013596236,.0016229375,.22284509,.22247769,.0065471241,.0093318904,.079932764,.074384637,.11583022,.13402759,.048826113,.05639708,.039892849,.040708683,.089160062,.1014336,GUJARAT
2526,1309113.739574432,647,435152.7982597351,931.1950073242188,738867.7882919312,1272.905002593994,35596.16453552246,83692.28979492188,52763.77960205078,29902.66445922852,94891.24410629272,287,2,320,3,20,55,29,11,45,.33240259,.44358578,.00071131712,.00309119,.56440306,.49459043,.00097234105,.004636785,.027191041,.030911902,.063930497,.085007727,.040304963,.044822257,.022841915,.017001545,.072485104,.069551781,D & N. HAVELI & DAMAN & DIU
27,196369467.6801758,13667,91069625.92791748,448213.0423583984,26195603.4017334,1444101.606933594,15268390.40707397,25879944.35394287,16748876.94812012,10513900.30209351,21562418.13476563,5822,26,1912,113,1111,1981,1050,826,1668,.46376672,.4259896,.0022824986,.0019023926,.13339958,.13989903,.0073540029,.0082680909,.07775338,.0812907,.1317921,.14494768,.085292675,.076827392,.053541422,.060437549,.10980535,.1220458,MAHARASHTRA
28,82684464.01255798,6075,40464530.35870361,425130.4990844727,8804105.149017334,370218.5884399414,22531424.46514893,11008354.72833252,5937898.109771729,1725589.248291016,9007156.305435181,2495,34,730,31,1490,930,506,176,792,.48938492,.41069958,.0051416005,.005596708,.10647835,.12016461,.0044774865,.0051028808,.27249888,.2452675,.13313691,.15308642,.071813948,.083292179,.02086957,.028971193,.10893408,.13037036,ANDHRA PRADESH
29,101265613.7638626,6404,48976940.77264404,105459.5883789063,11498602.52392578,493156.3939208984,10390006.82592773,13104810.13447571,9294489.00629425,3753750.858200073,8688401.274963379,2547,5,806,31,699,991,664,288,673,.4836483,.39772019,.0010414156,.000780762,.11354893,.12585884,.0048699295,.0048407246,.10260153,.10915053,.12941027,.15474704,.09178327,.1036852,.037068367,.044971891,.085798137,.10509057,KARNATAKA
30,2110821.14666748,596,189979.2854003906,25241.37017822266,378459.5540924072,32685.37028503418,263315.1953582764,581024.2499084473,169015.9795074463,150005.144241333,366854.5074615479,69,7,103,12,64,156,48,53,100,.090002552,.11577182,.011958081,.011744967,.17929494,.17281879,.015484671,.020134227,.12474538,.10738255,.27525982,.26174498,.080071196,.080536909,.07106483,.088926174,.17379706,.16778524,GOA
31,69815.49015331268,241,11616.18502616882,0,4392.93501663208,2913.600036621094,15415.18499183655,10492.01501750946,9332.534969329834,1646.844993591309,18692.22009277344,44,0,17,8,47,38,28,4,67,.16638407,.18257262,0,0,.062922068,.070539422,.041732859,.033195022,.22079892,.19502075,.15028206,.15767635,.13367428,.11618257,.023588533,.016597511,.26773742,.27800831,LAKSHADWEEP
32,49501299.47628784,5850,13989835.58874512,179112.6118164063,5582065.974304199,504311.1050720215,7587176.57144165,10339131.31958008,4670612.258605957,3706826.631408691,7999672.70401001,1624,23,682,55,910,1206,565,419,954,.28261551,.27760684,.0036183416,.0039316239,.11276605,.11658119,.010187835,.0094017098,.15327227,.15555556,.20886585,.20615384,.094353326,.096581198,.074883424,.071623929,.16160531,.16307692,KERALA
33,123319530.239624,9868,37245357.14962769,236435.4116821289,21018380.91647339,960840.3751831055,29821856.21511841,18784614.50564575,12299248.58721924,6105673.985900879,13122721.1567688,2817,13,1676,88,2306,1595,993,516,1112,.30202317,.28546819,.0019172585,.0013173895,.17043838,.16984192,.0077914698,.0089177135,.24182589,.23368464,.15232474,.16163357,.099734798,.10062829,.049511004,.052290231,.10641235,.11268748,TAMILNADU
34,1811741.587013245,707,221982.1156311035,0,346624.5696258545,23641.8401184082,184580.1853790283,333918.681602478,266225.7698822021,188378.135925293,356816.59425354,54,0,127,7,86,136,81,65,180,.12252416,.076379068,0,0,.19132119,.17963225,.013049234,.0099009899,.10187998,.12164073,.18430811,.1923621,.14694467,.1145686,.10397627,.091937765,.19694674,.25459689,PUDUCHERY
35,694197.5941314697,795,242145.4033813477,0,34911.71995544434,14839.80999755859,112918.8247680664,108195.4751281738,61028.79946136475,31831.47012329102,164684.2757034302,247,0,62,19,117,137,69,39,192,.34881338,.31069183,0,0,.050290752,.077987425,.021376925,.023899371,.16266093,.14716981,.15585689,.17232704,.087912723,.086792454,.045853615,.049056605,.23722969,.24150944,ANDAMAN & N. ISLAND
36,63090439.05767822,4459,29188186.93942261,145940.3142089844,8582451.665145874,215242.6879882813,18283106.75404358,7570952.571540833,6343437.254737854,2130997.145477295,6782897.973625183,1706,18,620,19,1126,670,467,146,608,.4626404,.382597,.0023131922,.0040367795,.13603412,.13904463,.003411653,.0042610453,.28979203,.25252298,.12000158,.1502579,.10054515,.104732,.033776864,.032742769,.10751071,.13635345,TELANGANA
37,410565.4056129456,451,187580.6153869629,240,24339.18479537964,4553.455154418945,44518.44456481934,63920.67517471313,39315.96018981934,5328.865081787109,81169.29513549805,181,2,24,4,62,91,63,10,65,.45688364,.40133038,.00058455975,.0044345898,.059282113,.053215079,.011090694,.0088691795,.10843204,.13747229,.15568939,.20177384,.095760532,.13968958,.012979333,.022172948,.19770126,.14412417,LADAKH
