state_per_fv,total_workers_w,total_workers_unw,total_div0_w,total_div1_w,total_div23_w,total_div4_w,total_div5_w,total_div6_w,total_div7_w,total_div8_w,total_div9_w,total_div0_unw,total_div1_unw,total_div23_unw,total_div4_unw,total_div5_unw,total_div6_unw,total_div7_unw,total_div8_unw,total_div9_unw,share_div0_weighted,share_div0_unweighted,share_div1_weighted,share_div1_unweighted,share_div23_weighted,share_div23_unweighted,share_div4_weighted,share_div4_unweighted,share_div5_weighted,share_div5_unweighted,share_div6_weighted,share_div6_unweighted,share_div7_weighted,share_div7_unweighted,share_div8_weighted,share_div8_unweighted,share_div9_weighted,share_div9_unweighted,state_name
10,88265597.03020096,5087,42900895.42424011,306599.52734375,4696567.449981689,218141.3383789063,15031591.73033142,12230654.37506485,4283209.072021484,1877619.507034302,6942221.225738525,1893,5,341,15,798,989,266,190,603,.48604321,.37212503,.0034736018,.00098289759,.053209491,.067033619,.0024714197,.0029486928,.17029956,.15687045,.13856649,.19441715,.048526369,.052290153,.021272382,.037350107,.078651495,.11853745,BIHAR
11,1096883.811805725,1281,536147.300491333,75.88999938964844,35587.26517486572,15561.35493469238,113097.0606155396,159748.0699462891,104105.8297958374,17368.71514129639,220256.0009460449,482,2,46,30,119,233,98,31,343,.48879135,.37626854,.000069186906,.0015612802,.03244397,.035909444,.014186876,.023419203,.1031076,.092896178,.14563809,.18188915,.094910532,.076502733,.0158346,.024199843,.20080158,.26775956,SIKKIM
12,1505025.805288315,2277,724720.7772197723,2305.419921875,31040.37001037598,26581.04020690918,50889.30031204224,298527.9456100464,101823.380821228,13933.55514526367,280085.216053009,888,2,54,54,106,466,170,26,539,.4815338,.38998681,.0015318142,.00087834871,.020624477,.023715414,.017661517,.023715414,.03381291,.046552483,.19835404,.20465524,.067655571,.074659638,.0092580179,.011418534,.18609995,.23671497,ARUNACHAL PRADESH
13,1836250.277412415,1125,632154.6023406982,0,154145.3762359619,36468.13457489014,50093.89512634277,213368.0952606201,125563.0999908447,212478.8302612305,411978.2436218262,319,0,76,22,32,161,87,161,267,.34426385,.28355557,0,0,.083945736,.067555554,.019860111,.019555556,.027280537,.028444445,.11619772,.14311111,.06838017,.077333331,.11571344,.14311111,.22435844,.23733333,NAGALAND
14,3367005.441085815,3544,1021069.060760498,28288.86995315552,410165.1756477356,5634.950004577637,277364.4841690063,381814.1349525452,196964.4706764221,287817.1088447571,830159.371307373,915,29,492,10,326,493,236,311,795,.30325732,.25818285,.0084017888,.0081828441,.12181898,.13882619,.0016735791,.0028216704,.082377203,.091986455,.11339873,.13910834,.058498412,.066591419,.085481629,.087753952,.24655718,.2243228,MANIPUR
15,1117881.550834656,2119,465945.5609054565,9389.690139770508,58693.07494354248,648.8099975585938,79520.48025512695,167495.4097595215,48866.21491241455,57026.78495025635,230295.5249710083,636,16,138,1,171,390,110,150,507,.4168112,.30014157,.0083995396,.0075507313,.052503839,.065125056,.00058039243,.00047192071,.071134977,.080698445,.14983287,.18404908,.043713231,.05191128,.051013261,.070788108,.20601067,.2392638,MIZORAM
16,4111046.667625427,2305,1293164.025074005,2689.269866943359,264882.3607177734,5049.025058746338,543108.3550796509,729681.9832038879,230710.5245895386,139117.559715271,955024.4090232849,581,3,151,9,240,435,138,127,658,.31455836,.25206074,.00065415696,.0013015184,.064431854,.065509759,.0012281605,.0039045552,.13210951,.10412148,.17749299,.18872017,.056119654,.059869848,.033839937,.055097613,.23230688,.28546637,TRIPURA
17,4195919.575004578,2163,2078944.82245636,67238.90029907227,54470.77053070068,8432.665100097656,1035114.408760071,409275.938873291,213223.0945892334,56249.4252166748,724107.364364624,790,21,36,9,445,279,132,43,574,.49546823,.36523348,.01602483,.009708738,.012981843,.01664355,.0020097299,.0041608876,.24669549,.20573278,.097541414,.12898752,.050816774,.061026353,.013405744,.019879797,.17257418,.26537216,MEGHALAYA
18,34673282.52235413,4528,13498471.98473358,214079.0427246094,3721071.129959106,31334.95483398438,4580293.548980713,5738538.02281189,1514595.882423401,833051.5090637207,5077744.015289307,1550,19,410,12,449,946,262,180,779,.3893047,.34231448,.0061741788,.004196113,.10731811,.090547703,.00090372044,.0026501766,.13209864,.099160776,.16550316,.20892227,.043681931,.057862192,.024025748,.039752651,.14644544,.17204064,ASSAM
19,123355160.384903,9255,46277570.16576385,480031.4125976563,23586976.62337494,486018.4111328125,17490901.05003357,17060150.96070099,8276494.303695679,3658530.522094727,16549253.9289856,2748,44,1840,55,1059,1615,638,390,1518,.37515715,.2969206,.0038914578,.0047541871,.19121191,.19881146,.0039399927,.0059427335,.14179303,.11442464,.13830107,.17450027,.06709484,.068935707,.029658511,.042139385,.1341594,.16401945,WEST BENGAL
20,35937220.19812775,3767,17159262.82804871,670283.3093566895,2970992.536262512,184371.5167236328,9102865.750419617,3542445.072441101,1702635.685302734,802926.0495910645,3085467.569366455,1505,84,425,32,757,512,228,121,425,.47747886,.39952216,.018651508,.022298912,.082671739,.11282188,.0051303776,.0084948232,.25329912,.20095567,.098573156,.13591717,.047378056,.060525618,.022342464,.032121051,.08585716,.11282188,JHARKHAND
21,50104941.37138367,5231,28048515.78898621,603924.0538330078,4501116.05406189,205149.5899658203,13497294.20860291,6232490.673431396,2711040.249847412,949616.1973876953,4291478.867919922,2569,60,506,34,1176,772,329,139,615,.55979538,.49111068,.012053183,.011470082,.089833774,.096731029,.0040943986,.0064997133,.26938051,.22481361,.12438874,.14758173,.054107245,.062894285,.018952547,.026572358,.085649811,.11756834,ODISHA
22,41081541.4838562,4178,30094771.86877441,238682.3114013672,2376334.318237305,155647.5249023438,8784281.852844238,4159861.555908203,896072.5128173828,362024.499206543,2984533.12600708,2596,43,300,31,803,576,123,68,445,.73256189,.62134993,.0058099646,.010292006,.057844333,.071804695,.003788746,.0074198181,.21382552,.19219722,.10125865,.13786501,.021812048,.029439924,.00881234,.01627573,.072649002,.10651029,CHHATTISGARH
23,98932935.60591888,7618,58942347.77445221,410440.0342407227,6991078.418136597,312149.9868164063,13875937.95150757,9771201.350921631,3158312.870864868,1683116.461212158,8220998.230224609,3943,40,639,33,866,961,314,217,920,.59578085,.51758993,.0041486695,.0052507222,.070664823,.083880283,.0031551674,.0043318458,.140256,.11367813,.09876591,.1261486,.031923775,.041218169,.0170127,.028485166,.083096676,.1207666,MADHYA PRADESH
24,79454214.31396484,5246,33753622.26690674,477828.6996459961,17021503.82849121,319827.3480529785,5264845.638122559,9572750.435028076,4705331.045898438,3670548.47076416,6539798.123291016,2067,32,1112,27,319,733,336,256,466,.42481852,.39401448,.0060138875,.0060998858,.21423034,.21197103,.0040253038,.0051467787,.066262633,.060808234,.12048134,.13972551,.05922066,.064048797,.046197027,.048799086,.082309015,.088829584,GUJARAT
2526,1175556.773820877,565,261205.8292427063,0,711932.6602716446,3371.254898071289,54373.69052124023,112941.6342601776,52032.41534423828,24833.72009277344,62389.74926662445,160,0,276,3,18,68,30,16,46,.22219755,.28318584,0,0,.60561317,.48849559,.0028677941,.0053097345,.046253566,.031858407,.096075013,.12035398,.044261932,.053097345,.021125071,.028318584,.053072512,.081415929,D & N. HAVELI & DAMAN & DIU
27,151862692.5772934,12257,70195478.42969513,505192.5354003906,17743432.41424561,1033698.376831055,10028829.53800964,20515208.63442993,10567925.53126526,7874365.709060669,17138449.36825562,4922,39,1616,86,865,1772,957,749,1516,.46222991,.40156645,.0033266402,.0031818552,.11683866,.13184303,.006806796,.0070163989,.066038795,.070571922,.13509052,.14457045,.069588691,.07807783,.051851876,.061107937,.11285491,.12368443,MAHARASHTRA
28,75677800.92673492,5928,34706653.71906281,229326.9729309082,8559847.73677063,546145.3781738281,15464046.97271729,9491047.251617432,5680486.614547729,1786663.808792114,9207048.247108459,2331,26,781,51,1087,839,493,182,848,.45861077,.39321864,.0030303071,.0043859649,.1131091,.13174763,.0072167185,.0086032385,.20434059,.18336707,.12541389,.14153172,.075061463,.08316464,.023608822,.030701755,.12166115,.14304993,ANDHRA PRADESH
29,80532133.74472046,5930,32913794.559021,436834.2774047852,9546104.883483887,418641.5165405273,7171757.285339355,10888328.12203979,8857597.976226807,3263736.057373047,7580901.606231689,1914,31,833,30,509,995,714,309,645,.40870386,.32276559,.0054243477,.0052276561,.11853784,.14047217,.0051984405,.005059022,.089054607,.085834742,.13520476,.16779089,.10998837,.12040472,.040527128,.052107926,.094135113,.10876897,KARNATAKA
30,2010170.099609375,618,173337.528503418,22943.28454589844,339389.8895568848,31024.19946289063,161256.1796569824,565280.692565918,186918.5596923828,108138.924987793,452044.4002075195,64,7,92,8,54,180,67,32,126,.086230278,.10355987,.011413603,.011326861,.1688364,.14886731,.015433619,.012944984,.080220163,.087378643,.28121036,.29126215,.092986442,.10841424,.053795908,.051779937,.22487868,.2038835,GOA
31,35688.51998519897,158,10234.9550075531,0,1711.595031738281,777.6950073242188,5744.570007324219,2089.23998260498,2349.610006332397,513.3750152587891,12267.47992706299,53,0,8,2,21,10,11,3,50,.28678563,.33544305,0,0,.047959261,.050632913,.021791181,.012658228,.16096409,.1329114,.058540951,.06329114,.065836579,.069620252,.014384878,.018987341,.34373742,.31645569,LAKSHADWEEP
32,40755978.81268311,5661,8321693.937744141,145801.4055175781,5100026.968688965,332896.4588775635,8650006.369842529,7547581.529495239,4088890.681030273,2736302.769592285,6231611.274490356,1085,17,706,48,1232,1069,604,387,834,.20418338,.19166225,.0035774237,.0030030031,.12513568,.12471295,.0081680398,.0084790671,.21223895,.21762939,.18518956,.18883589,.10032616,.10669493,.067138687,.068362482,.15290055,.14732379,KERALA
33,102072311.6753922,9207,28606446.71356201,216092.880859375,19848461.53619385,855918.9301757813,19503640.74710083,15314483.95349884,9055977.950569153,5054970.158782959,11133870.73796844,2532,22,1802,80,1593,1466,814,449,1069,.28025669,.27500814,.0021170569,.0023894862,.19445491,.19572064,.0083854171,.0086890412,.1910767,.17302053,.15003563,.15922667,.088721201,.088410988,.049523421,.048767243,.10907827,.11610731,TAMIL NADU
34,1769629.197555542,776,293745.9672088623,806.239990234375,377486.7077941895,8072.099853515625,247797.5973968506,233119.9400939941,173705.6737518311,126302.0803222656,393780.4055175781,96,1,148,5,105,127,72,65,185,.16599295,.12371134,.00045559826,.0012886598,.21331401,.19072165,.0045614638,.0064432989,.14002797,.13530928,.13173378,.1636598,.098159365,.092783503,.071372062,.083762884,.22252142,.23840207,PUDUCHERRY
35,551681.0710067749,663,69978.14518737793,0,40075.69955444336,8121.679946899414,107891.6660003662,88090.58511352539,42832.72476959229,33517.20506286621,176054.8352966309,78,0,43,11,110,119,63,48,204,.12684529,.11764706,0,0,.072642878,.064856716,.014721694,.016591253,.1955689,.16591252,.15967666,.17948718,.077640377,.095022626,.060754675,.072398193,.31912431,.30769232,A & N ISLAND
36,47942032.30630493,3971,20955569.83346558,245589.3896484375,6340273.337341309,229505.5798339844,6091615.933776855,4780407.791503906,3659387.499847412,2102655.02923584,6028125.615814209,1418,34,570,25,482,507,334,199,577,.43710223,.35708889,.0051226318,.008562075,.13224874,.14354067,.0047871475,.0062956433,.12706211,.12138001,.099712245,.12767565,.076329418,.084109798,.043858279,.05011332,.1257378,.14530344,TELANGANA
