state_per_fv,total_workers_w,total_workers_unw,total_div0_w,total_div1_w,total_div23_w,total_div4_w,total_div5_w,total_div6_w,total_div7_w,total_div8_w,total_div9_w,total_div0_unw,total_div1_unw,total_div23_unw,total_div4_unw,total_div5_unw,total_div6_unw,total_div7_unw,total_div8_unw,total_div9_unw,share_div0_weighted,share_div0_unweighted,share_div1_weighted,share_div1_unweighted,share_div23_weighted,share_div23_unweighted,share_div4_weighted,share_div4_unweighted,share_div5_weighted,share_div5_unweighted,share_div6_weighted,share_div6_unweighted,share_div7_weighted,share_div7_unweighted,share_div8_weighted,share_div8_unweighted,share_div9_weighted,share_div9_unweighted,state_name
13,1730177.197166443,1165,614090.2563781738,1143.074951171875,100837.3488006592,41049.86996459961,4879.440078735352,201430.4258270264,106241.5250244141,251853.0257263184,419181.3355178833,330,1,50,22,6,160,78,197,326,.35492912,.28326181,.00066066929,.00085836911,.058281515,.042918455,.023725819,.018884121,.0028201968,.0051502148,.11642185,.13733906,.061404996,.066952787,.14556487,.16909871,.24227653,.27982834,NAGALAND
14,2976449.783424377,3490,1080978.417352676,4626.105087280273,369723.6812267303,3472.160022735596,216275.690448761,381061.8091163635,176172.6753311157,200075.680480957,578262.1746025085,1044,9,456,7,293,505,218,275,704,.36317709,.29914039,.0015542359,.0025787966,.12421633,.13065903,.0011665442,.0020057308,.072662301,.083954155,.12802561,.14469914,.059188861,.062464185,.06721957,.078796558,.19427916,.20171919,MANIPUR
15,1206094.509780884,2213,524483.3092422485,12389.64506530762,50878.91500854492,4456.855026245117,98973.97477722168,148633.6904296875,49521.25508117676,58034.83543395996,264530.0096359253,710,30,111,13,183,308,123,148,592,.43486089,.32083145,.010272533,.013556259,.042184848,.050158158,.0036952784,.0058743786,.082061544,.082693174,.12323552,.13917759,.041059181,.055580661,.048117984,.066877544,.21932776,.26751018,MIZORAM
16,4020634.928089142,2348,1186942.719314575,6736.569946289063,287269.0541763306,4888.025054931641,603079.5299377441,720982.9815635681,310707.8540916443,152942.8454818726,838535.7084846497,572,4,150,6,273,401,191,159,640,.29521275,.24361159,.001675499,.0017035775,.071448676,.063884154,.0012157346,.0025553664,.14999609,.11626916,.17932068,.17078364,.077278309,.081345826,.038039476,.067717209,.20855804,.2725724,TRIPURA
17,4603170.312316895,2308,2578328.636917114,32507.69067382813,81422.79512023926,6860.740112304688,1051698.825927734,468160.7598724365,190204.8354263306,68021.39956665039,715265.7049026489,964,12,56,3,446,325,109,58,546,.56012017,.41767764,.0070620221,.0051993066,.017688416,.024263432,.001490438,.0012998267,.22847271,.1932409,.10170399,.14081456,.041320398,.047227036,.014777076,.025129983,.15538545,.23656845,MEGHALAYA
18,33219483.48913574,4729,15082253.07910156,114800.9152832031,2328846.89781189,53787.26611328125,3447800.435539246,5116795.333213806,1881669.009902954,956399.4605407715,4740754.069290161,1797,25,363,15,384,946,318,182,773,.45401829,.37999576,.0034558307,.0052865301,.070104852,.076760411,.0016191482,.003171918,.1037885,.081201099,.15402995,.20004229,.056643534,.067244664,.028790317,.038485937,.14271004,.16345951,ASSAM
19,120048472.707592,9079,47663693.90868759,443998.0100097656,22246169.17218018,465406.1733703613,17957401.59671783,16742633.71724701,8151530.168251038,3821213.519989014,13350672.10565948,2862,53,1768,49,1102,1533,618,397,1340,.39703706,.31523296,.0036984894,.0058376472,.18530989,.19473511,.0038768188,.0053970702,.14958459,.121379,.13946562,.1688512,.067901991,.068069167,.03183059,.043727282,.11121068,.14759335,WEST BENGAL
20,32269628.48536682,3527,16426683.06413269,497022.520690918,2872746.579162598,148792.140838623,6718991.701889038,3168799.195465088,1555324.987670898,707496.359588623,2635104.406845093,1477,70,413,27,583,464,208,108,403,.50904471,.41876948,.015402176,.019846896,.089023232,.11709668,.0046109036,.0076552313,.2082141,.16529629,.098197572,.13155657,.048197795,.058973633,.021924527,.030620925,.081658967,.11426141,JHARKHAND
21,48815618.54324341,5208,27301524.6960144,580788.4030761719,3837259.752075195,253426.7011413574,10525912.73731995,5058751.633850098,2538675.39730835,1087683.555236816,4083379.619659424,2556,46,447,39,998,662,308,171,589,.55927849,.49078342,.011897594,.0088325655,.078607216,.085829496,.0051915087,.0074884794,.21562593,.19162826,.10362978,.12711214,.052005392,.059139784,.022281466,.032834101,.083649039,.11309524,ODISHA
22,44335308.10206604,4402,33319183.13578796,230082.445526123,2112087.862884521,493132.5561218262,8920955.704986572,3469105.996459961,1081056.292724609,415282.3179321289,3104609.354721069,2861,47,299,60,739,486,153,70,470,.75152707,.64993185,.0051895985,.010676965,.047638956,.067923672,.011122796,.013630169,.2012156,.16787824,.078247026,.11040436,.024383642,.034756929,.0093668532,.015901864,.07002566,.10676965,CHHATTISGARH
23,101263623.3972912,8012,63380701.83454895,528754.9813232422,6350876.368833542,579622.1943359375,13460971.12467957,8269663.261260986,3163149.496398926,2213102.161697388,8269726.439422607,4184,36,666,47,906,931,340,263,969,.625898,.52221668,.005221569,.0044932603,.062716268,.083125316,.0057238936,.0058662007,.13292998,.11308038,.081664696,.1162007,.031236779,.042436346,.021854859,.032825761,.081665322,.12094358,MADHYA PRADESH
24,73912055.81747437,5681,31475005.3192749,265657.6058044434,14975685.26382446,589429.6447753906,4729618.247711182,8907532.04095459,5149434.635787964,2462260.401443481,5894480.934082031,2153,22,1227,53,356,803,430,212,470,.42584398,.37898257,.0035942392,.0038725575,.20261492,.21598311,.0079747429,.0093293432,.063989811,.062665023,.12051528,.14134835,.069669753,.075690903,.033313379,.037317373,.079749927,.08273191,GUJARAT
2526,1231956.312452316,526,258479.8100700378,0,737563.5686264038,12990.29986572266,28697.46008300781,122547.2395305634,43385.92985153198,35521.24489212036,120784.2247810364,116,0,254,4,15,63,31,16,68,.20981248,.22053231,0,0,.59869295,.48288974,.010544448,.0076045627,.02329422,.02851711,.099473692,.11977186,.035217103,.058935363,.028833201,.030418251,.098042622,.12927757,D & N. HAVELI & DAMAN & DIU
27,147601182.3817596,12426,71394083.77050781,203709.3193359375,17798489.2701416,631194.2171630859,8993583.066131592,16685052.11985779,10403642.53529358,7379817.128509521,17226104.88404846,5119,18,1696,65,825,1730,970,700,1542,.48369589,.41195878,.0013801333,.0014485755,.120585,.13648801,.0042763492,.0052309674,.060931645,.066393048,.11304145,.1392242,.070484817,.078062125,.049998362,.056333493,.11670709,.12409464,MAHARASHTRA
28,82729603.86290741,6237,42640483.71406555,391286.4402160645,8275171.889587402,447652.1964111328,14982064.57272339,9556355.216178894,5648968.999847412,1905540.963928223,8571046.470504761,2756,40,703,41,1058,848,450,208,824,.5154199,.44187909,.0047297026,.0064133396,.10002673,.11271445,.0054110279,.0065736733,.18109678,.16963284,.11551312,.1359628,.068282314,.072150074,.023033362,.033349365,.10360314,.1321148,ANDHRA PRADESH
29,83705611.65531921,6148,38286906.45123291,268683.3310546875,10496276.78674316,433413.7084960938,6830051.736206055,10193157.03165436,7379343.096374512,2949479.862182617,8013545.744270325,2175,21,855,37,560,936,623,294,717,.45739952,.35377359,.0032098605,.003415745,.12539513,.13906962,.0051778331,.0060182172,.081596106,.091086529,.12177388,.15224463,.088158287,.10133377,.035236347,.04782043,.095734872,.11662329,KARNATAKA
30,1592035.501052856,564,127078.8294677734,16130.2048034668,305102.3413238525,35943.11480712891,146537.3945770264,328810.1161804199,136694.9398727417,94272.3698425293,439358.9399642944,47,7,104,14,54,115,55,32,149,.079821609,.083333336,.010131813,.012411348,.19164293,.18439716,.022576829,.024822695,.092044048,.095744684,.20653442,.20390071,.085861742,.097517729,.059214991,.056737587,.27597308,.26418439,GOA
31,39165.43031311035,165,10083.84003067017,0,521.2549896240234,567.7400007247925,5235.15002822876,4244.760078430176,4727.069987297058,2479.670028686523,11305.94516944885,43,0,4,5,22,11,18,6,56,.25746787,.26060605,0,0,.013309058,.024242423,.014495947,.030303031,.13366762,.13333334,.10838027,.06666667,.12069496,.10909091,.063312724,.036363635,.28867155,.33939394,LAKSHADWEEP
32,36258343.89654541,5274,7205079.025268555,87963.111328125,4308760.190795898,245946.57421875,7398047.7081604,6258701.232208252,4082475.115692139,2408870.865539551,5772327.349884033,964,14,656,33,1118,940,585,355,813,.19871506,.18278347,.0024260101,.0026545317,.11883499,.12438377,.0067831716,.0062571103,.20403711,.21198331,.1726141,.17823283,.11259409,.1109215,.066436321,.067311339,.15919997,.15415245,KERALA
33,97459385.42601013,9244,27027779.37889099,389283.3735351563,19403017.55410767,880838.5575561523,16619496.25701904,13874265.52679443,8918374.279052734,4876126.069152832,10055116.14294434,2403,26,1926,72,1488,1389,862,478,1026,.27732351,.2599524,.003994314,.0028126352,.19908825,.20835136,.0090380069,.007788836,.17052741,.16096927,.14235947,.15025963,.091508627,.093249679,.050032392,.051709216,.10317238,.11099091,TAMIL NADU
34,1265244.887634277,642,149236.6256713867,0,221331.2900543213,20723.32012939453,177211.6552124023,210901.6157836914,151326.8405456543,84995.62980651855,267161.400604248,66,0,105,11,102,113,64,53,137,.11795078,.10280374,0,0,.17493159,.16355141,.0163789,.017133957,.14006115,.15887851,.16668838,.17601246,.11960281,.09968847,.067177214,.082554519,.21115391,.21339564,PUDUCHERRY
35,547883.0989646912,696,86052.57932281494,1374.004943847656,32319.5697555542,9825.014999389648,93150.85473632813,72588.25001525879,53871.83003234863,22169.50989151001,186032.8351821899,108,2,50,15,103,94,64,40,235,.15706375,.15517241,.0025078433,.0028735632,.058989901,.071839079,.017932685,.021551725,.17001958,.14798851,.13248858,.13505746,.098327234,.091954023,.040463943,.057471264,.33954841,.33764368,A & N ISLAND
36,47571746.48068237,3982,20641119.05076599,278986.4760742188,5827313.795684814,343839.4665527344,4849165.362792969,4848534.405853271,4205472.372314453,2038430.090179443,5243881.222671509,1372,34,527,29,376,521,389,226,552,.43389449,.34455049,.0058645415,.0085384231,.12249526,.13234556,.0072278082,.0072827726,.10193373,.094424911,.10192046,.13083878,.088402733,.097689606,.042849597,.056755397,.110231,.1386238,TELANGANA
